#;Nome;Fuori lista;Sq.;Under;R.;R.MANTRA;PGv;MV;FM;FVM/1000;QUOT.;FantaSquadra;Costo
6977;Otoa;;Genoa;21;D;Dc;0;0;0;3;2;;
6925;Palma;;Udinese;17;D;Dc;0;0;0;3;1;;
6883;Jean;;Lecce;25;D;Dc;0;0;0;3;3;;
6826;Dembelè A.;;Torino;21;D;Dd/E;0;0;0;3;1;;
5860;Ravanelli;*;Cremonese;28;D;Dc;0;0;0;3;2;;
5812;Terracciano F.;;Cremonese;22;D;Dd/Ds/E;0;0;0;3;2;;
7152;Bonfanti N.;;Pisa;23;A;Pc;0;0;0;2;1;;
7177;Santiago;;Verona;21;C;C;0;0;0;2;2;;
7147;Hojholt;;Pisa;24;C;M/C;0;0;0;2;1;;
6645;Marchwinski;;Lecce;23;C;T;0;0;0;2;1;;
6410;Kaba;;Lecce;24;C;M/C;0;0;0;2;1;;
5516;Bianco;;Fiorentina;23;C;M/C;0;0;0;2;1;;
7182;Ndaba;;Lecce;26;D;Ds/E;0;0;0;2;1;;
7170;Mbambi;;Pisa;17;D;Dc;0;0;0;2;1;;
7142;Esteves T.;;Pisa;23;D;Dd/E;0;0;0;2;1;;
6990;Veiga D.;;Lecce;23;D;Dd/E;0;0;0;2;1;;
6989;Tiago Gabriel;;Lecce;21;D;Dc;0;0;0;2;1;;
6660;Marcandalli;;Genoa;23;D;Dc;0;0;0;2;3;;
6551;Ilic M.;;Bologna;22;D;Dc;0;0;0;2;1;;
6464;Wieteska;*;Cagliari;28;D;Dc;0;0;0;2;1;;
5891;Quagliata;*;Cremonese;25;D;Ds/E;0;0;0;2;1;;
2847;Sernicola;;Cremonese;28;D;Dd/Ds/E;0;0;0;2;1;;
218;Perin;;Juventus;33;P;Por;0;0;0;2;1;;
7171;Buffon L.;;Pisa;18;A;A;0;0;0;1;1;;
7159;Skjellerup;;Sassuolo;23;A;Pc;0;0;0;1;1;;
7158;Moro L.;;Sassuolo;24;A;Pc;0;0;0;1;1;;
6827;Njie;;Torino;20;A;A;0;0;0;1;1;;
6657;Gabrielloni;;Como;31;A;Pc;0;0;0;1;1;;
505;Bonazzoli;;Cremonese;28;A;A;0;0;0;1;1;;
7151;Arena;;Pisa;25;C;W/T;0;0;0;1;1;;
7150;Vural;;Pisa;19;C;C;0;0;0;1;3;;
6678;Liberali;*;Milan;18;C;W/T;0;0;0;1;1;;
6677;Adzic;;Juventus;19;C;C/T;0;0;0;1;1;;
6656;Braunoder;*;Como;23;C;M/C;0;0;0;1;1;;
6618;Cissè A.;*;Verona;19;C;W/T;0;0;0;1;1;;
6005;Ilkhan;;Torino;21;C;C/T;0;0;0;1;1;;
5674;Basic;;Lazio;29;C;C;0;0;0;1;1;;
2553;Alli;;Como;29;C;T;0;0;0;1;1;;
2076;Rog;;Cagliari;30;C;M/C;0;0;0;1;1;;
7164;Perez M.;;Lecce;20;D;Dd/Dc;0;0;0;1;1;;
6885;Abdulhamid;*;Roma;26;D;Dd/E;0;0;0;1;1;;
6636;Veroli;;Cagliari;22;D;Ds/Dc;0;0;0;1;1;;
5324;Godfrey;;Atalanta;27;D;B/Dd/Ds;0;0;0;1;1;;
7185;Nunziante;;Udinese;18;P;Por;0;0;0;1;1;;
7172;Pessina Mas.;;Bologna;18;P;Por;0;0;0;1;1;;
7169;Zelezny;;Roma;19;P;Por;0;0;0;1;1;;
6991;Siegrist;;Genoa;33;P;Por;0;0;0;1;1;;
6813;Torriani;;Milan;20;P;Por;0;0;0;1;1;;
6662;Corvi;;Parma;24;P;Por;0;0;0;1;1;;
6523;Samooja;;Lecce;22;P;Por;0;0;0;1;1;;
6505;Nava;;Cremonese;21;P;Por;0;0;0;1;1;;
6417;Furlanetto;;Lazio;23;P;Por;0;0;0;1;1;;
6403;Christensen O.;*;Fiorentina;26;P;Por;0;0;0;1;1;;
6210;Popa;;Torino;25;P;Por;0;0;0;1;1;;
6184;Martinelli T.;;Fiorentina;19;P;Por;0;0;0;1;1;;
6125;Vasquez D.;;Roma;27;P;Por;0;0;0;1;1;;
5338;Rinaldi;;Parma;23;P;Por;0;0;0;1;1;;
5320;Paleari;;Torino;33;P;Por;0;0;0;1;1;;
4929;Ciocci;;Cagliari;23;P;Por;0;0;0;1;1;;
4518;Russo A.;;Sassuolo;24;P;Por;0;0;0;1;1;;
2845;Contini;;Napoli;29;P;Por;0;0;0;1;1;;
2815;Terracciano;;Milan;35;P;Por;0;0;0;1;1;;
2809;Vigorito;;Como;35;P;Por;0;0;0;1;1;;
2401;Fruchtl;;Lecce;25;P;Por;0;0;0;1;1;;
2297;Rossi F.;;Atalanta;34;P;Por;0;0;0;1;1;;
2271;Nicolas;;Pisa;37;P;Por;0;0;0;1;1;;
2211;Silvestri;;Cremonese;34;P;Por;0;0;0;1;1;;
2127;Satalino;;Sassuolo;26;P;Por;0;0;0;1;1;;
1930;Pinsoglio;;Juventus;35;P;Por;0;0;0;1;1;;
1926;Di Gennaro;;Inter;32;P;Por;0;0;0;1;1;;
610;Gollini;;Roma;30;P;Por;0;0;0;1;1;;
543;Padelli;;Udinese;40;P;Por;0;0;0;1;1;;
511;Perilli;;Verona;30;P;Por;0;0;0;1;1;;
219;Sommariva;;Genoa;28;P;Por;0;0;0;1;1;;
216;Donnarumma An.;*;Torino;35;P;Por;0;0;0;1;1;;
158;Lezzerini;;Fiorentina;30;P;Por;0;0;0;1;1;;
4;Sportiello;;Atalanta;33;P;Por;0;0;0;1;1;;
3;Radunovic;;Cagliari;29;P;Por;0;0;0;1;1;;
